aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202107008850,1010869481,BBQ안국점,3057,서울특별시 종로구창덕궁길84102호,BBQ안국점,1,56193,숙박 및 음식점업,치킨 전문점,,,56
202107008420,2117524707,유담,3146,서울특별시 종로구인사동16길15(관훈동),유담,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202107008712,6374700471,고래와,3157,서울특별시 종로구종로19212-2,고래와,1,56122,숙박 및 음식점업,일식 음식점업,,,56
202107006804,1074018132,웰러드,3184,서울특별시 종로구새문안로58(신문로2가),지하1층,1,56123,숙박 및 음식점업,서양식 음식점업,,,56
202107009429,4333600761,베르니,3173,서울특별시 종로구세종대로23길54(당주동),지하1층 124호,1,56221,숙박 및 음식점업,커피 전문점,,,56
202107009689,4592201329,투다리(독립문역점),3030,서울특별시 종로구통일로230,"1층 116호(무악동, 경희궁 롯데캐슬)",1,56111,일반음식점업,한식,,,56
202107008952,1915900605,다원,3142,서울특별시 종로구종로1길57(중학동),지하,1,56111,음식점업,한식,,,56
202107010288,6958501707,(주)미지컨설팅(익선지점),3133,서울특별시 종로구수표로28길33-5(익선동),1층,1,56199,숙박 및 음식점업,간이 음식 포장 판매 전문점,,,56
202107009836,8372201403,북촌막국수제면소,3049,서울특별시 종로구삼청로141(삼청동),B1,1,56112,일반음식점,막국수,,,56
202107010077,4240502174,취홍,3173,서울특별시 종로구새문안로3길30(내수동),지하1층,1,56121,숙박 및 음식점업,중식 음식점업,,,56
202107009866,4622200501,포브라더스 종로점,3161,서울특별시 종로구종로51(종로2가),지하2층 201호(종로2가),N,56129,일반음식점,베트남음식,,,56
202107010121,3792601021,더벤티혜화로점,3067,서울특별시 종로구혜화로20(혜화동),1층,1,56221,음식점업,카페,,,56
202108102921,6893700847,커피초이스,3174,서울특별시 종로구사직로8길34(내수동),1층120호 경희궁의아침 3단지,1,56221,숙박 및 음식점업,커피 전문점,,,56
202107011167,1011123262,경희궁,3173,서울특별시 종로구새문안로5가길3-9(당주동),경희궁,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202107011175,3032373833,또순이,3105,"서울특별시 종로구종로51길302,3호(창신동)",또순이,1,56194,숙박 및 음식점업,김밥 및 기타 간이 음식점업,,,56
202107011191,3301300269,성미 양꼬치,3130,서울특별시 종로구종로31길19종로구인의도38번지,성미 양꼬치,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202107011001,1010554406,미스터 순두부,3129,서울특별시 종로구대학로1길101층연지동순두부,미스터 순두부,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202108108839,1367400130,빅바,3140,"서울특별시 종로구수표로109,4층(낙원동)",빅바,1,56199,숙박 및 음식점업,간이 음식 포장 판매 전문점,,,56
202107011271,5506500372,물방,3139,"서울특별시 종로구돈화문로5길28-4,1층(돈의동)",물방,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202107011273,1011221897,심우방,3146,서울특별시 종로구인사동12길1(관훈동),심우방,1,56221,숙박 및 음식점업,커피 전문점,,,56
202107012921,2872900781,소원책담,3067,서울특별시 종로구혜화로6길17,(혜화동),1,56221,음식,커피,,,56
202003369843,1096700407,뻐꾸기,3088,서울특별시 종로구낙산길22(동숭동),2층,1,56111,음식,카페,,,56
202107011608,1612300944,송이네 예술반찬,3105,서울특별시 종로구종로51길22-11층,송이네 예술반찬,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202107011795,7662001408,행복한식탁,3173,서울특별시 종로구새문안로3길30(내수동),대우빌딩지하 1층 116호,1,56111,일반음식점,식품접객업,,,56
202108102451,7202701319,프루타다 광화문점,3157,서울특별시 종로구종로19(종로1가),"지하1층 113-2,113-3호",1,56192,숙박 및 음식점업,"피자, 햄버거, 샌드위치 및 유사 음식점업",,,56
