aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
201901026056,8400600905,산촌,3332,서울특별시 은평구연서로27길27,1층,1,56111,음식점업,한식,Y,Y,56
201901026054,5805800225,서울정,3332,서울특별시 은평구연서로25길20-3,1층,1,56111,음식점업,한식,,,56
201901026055,1100972712,2004청춘돼지,3386,서울특별시 은평구연서로26길4,1층,1,56111,음식점업,한식,,,56
201812004288,2140243505,놀부부대찌개&철판구이 구파발역점,3306,서울특별시 은평구진관2로29-21(진관동),드림스퀘어 202호,1,56111,음식,한식,,,56
201812010928,7922200232,옛날옛적에,3458,서울특별시 은평구은평로9길30,1층,1,56111,음식,한식,,,56
201901030571,4494000370,요요라멘,3350,서울특별시 은평구연서로32길18,1층 요요라멘,1,56113,음식점업,라면,,,56
201901025759,1110207966,남원추어탕,3388,서울특별시 은평구연서로170,1층,1,56111,음식,한식,,,56
201901033739,7335200303,오달매응암점,3466,서울특별시 은평구응암로22길31,1층 오달매,1,56194,음식점,분식,,,56
201901036266,1101647017,술사랑호프,3345,서울특별시 은평구연서로247(불광동),불광 310-261번지,1,56219,음식,호프,Y,Y,56
201901018837,7211500080,장원,3353,서울특별시 은평구불광로123,1층,1,56121,음식,중식,,,56
201901017443,1101268353,곱창박사,3497,서울특별시 은평구증산동166-6,1층 우측,1,56111,음식업,한식,,,56
201901017584,1101836402,소문난153김밥,3499,서울특별시 은평구증산서길88,소문난 153김밥,1,56194,음식,분식,,,56
201903128575,4033000661,구천동커피숍 호프,3325,서울특별시 은평구갈현로189,지하1층,1,56219,음식,호프,,,56
201901019963,7870400686,부트브레드(BOOT BREAD),3453,서울특별시 은평구은평로8길46(응암동),1층,1,56191,음식,제과점,,,56
201907267047,5757900102,쿠우쿠우 연신내점,3345,서울특별시 은평구통일로856(불광동),6층 쿠우쿠우연신내점,N,56111,음식점업,기타음식점업,,,56
201901021083,7921100236,58갈비,3485,서울특별시 은평구응암로9길7-1,1층,1,56111,음식점업,한식,,,56
201903128037,1101157558,처가집식당,3407,서울특별시 은평구연서로4길20(역촌동),1층,1,56111,음식점업,한식점업,,,56
201907269613,4161892281,커피에 반하다 녹번환희점,3372,서울특별시 은평구통일로630-1(녹번동),상가 지하 101-3호,1,56221,음식점업,커피 전문점,Y,Y,56
201901025309,1271645865,본가옛날순대,3396,서울특별시 은평구불광로21(대조동),2층 B호,1,56111,음식점업,한식,,,56
201903128112,4395600239,쭈꾸미몽땅먹는날(쭈몽),3330,서울특별시 은평구연서로29길8-3,2층,1,56111,음식점업,한식,Y,Y,56
201907264009,2731200464,마리김밥,3330,서울특별시 은평구통일로863-4(갈현동),1층,1,56194,음식점업,분식,,,56
201903128713,7540601035,피자애 구산점,3413,서울특별시 은평구연서로13길11,1층,1,56192,음식점업,피자,,,56
202006567717,6511001499,섬진강 민물메기 매운탕,3436,서울특별시 은평구갈현로1길16(신사동),1층 101호,1,56114,음식업,매운탕,,,56
201907264672,1101436350,제주도그릴,3458,서울특별시 은평구응암로373(녹번동),1층,1,56113,음식점업,한식,,,56
201901030534,8781900574,이태리식당,3301,서울특별시 은평구진관3로67,905(상가)동 1층 104호,1,56114,음식점업,레스토랑,,,56
201901018729,2734800309,베러커피,3457,서울특별시 은평구응암로229,1층(응암동),1,56199,음식점업,간이음식,,,56
201812001571,1114124402,숯불꼼장어,3375,서울특별시 은평구통일로697,1층,1,56111,음식업,한식점업,,,56
202004465458,2200739791,뽀말,3301,"서울특별시 은평구진관3로77(진관동,은평뉴타운구파발)",919동 상가109호 뽀말,1,56194,음식,휴게음식,,,56
201902051553,5300301082,남원집,3345,서울특별시 은평구통일로850,"42~43호 (불광동,연서시장)",1,56111,음식점업,한식음식점업,,,56
201902051557,6260600065,재민네,3345,서울특별시 은평구통일로850,"재민네 (1층, 불광동)",1,56111,음식점업,기타음식,,,56
201908279643,4064200440,숙가마솥보리밥,3343,서울특별시 은평구연서로41길9-1(불광동),C동 1층,1,56111,음식점업,한식,Y,,56
201901036781,1101975061,한우리,3368,서울특별시 은평구불광로40-7(불광동),1층,1,56111,음식,한식,,,56
202010663721,1664100604,지호한방삼계탕(녹번점),3372,서울특별시 은평구통일로636(녹번동),2층 미드스퀘어 209호~212호,N,56111,일반음식점,한식,,,56
202203082871,3713601079,설빙 구파발역점,3306,서울특별시 은평구진관2로29-21(진관동),2층 설빙 구파발역점,1,56199,음식점,음식점업,,,56
201909295738,1101888176,무궁화어묵,3345,서울특별시 은평구연서로247,(불광동),1,56194,즉석판매,어묵류,,,56
201902063848,2651400870,히사시돈부리,3461,서울특별시 은평구은평로101(응암동),응암연립 2층 히사시돈부리,1,56122,음식점,일식,,,56
201904137947,8797900120,만이갈비 불광점,3391,서울특별시 은평구통일로69길12,1층(대조동),1,56111,음식점업,한식 음식점업,,,56
201901026106,3501400289,세븐차이나,3307,서울특별시 은평구북한산로242(진관동),1층 2층,N,56112,음식,중식,,,56
202010669640,1061355201,플레이버커피,3472,"서울특별시 은평구은평로220(응암동,녹번역e편한세상캐슬아파트)",상가 B동 112호,1,56221,휴게음식점,커피전문점,,,56
201903075523,5012679238,커피애인,3334,서울특별시 은평구연서로21길16-1,갈현동,1,56221,음식,카페,,,56
201903079239,5152116751,파파존스피자연신내점,3337,서울특별시 은평구통일로944(불광동),1층,1,56192,음식,피자,,,56
201903087342,1101070705,시장피자,3375,서울특별시 은평구진흥로150,안성빌딩,1,56192,음식점,피자,,,56
201903086376,1100641256,한마음,3417,서울특별시 은평구연서로69,1층,1,56111,음식,한식,Y,Y,56
201903086400,1101685194,장충동 명가 왕족발,3328,서울특별시 은평구갈현로326-1,1층,1,56111,음식업,한식,,,56
201903087436,1101292310,백년백세삼계탕,3383,서울특별시 은평구은평로205-5,1층,1,56111,음식,한식,,,56
201903087689,1102027755,횟집 울릉도,3459,서울특별시 은평구서오릉로29-4,1층 101호,1,56122,음식점업,일식,,,56
201903085983,1121895275,참 고깃집,3385,서울특별시 은평구통일로833-5,101호,1,56111,음식점업,한식,,,56
201903087451,1360707029,빵긋빵긋,3419,서울특별시 은평구연서로3나길1,1층,1,56229,음식점업,음료,Y,,56
201903087625,1811700229,청년다방,3454,서울특별시 은평구은평로104,1층,1,56111,음식점업,일반음식,,,56
201903087809,1423000693,정류소앞카페,3441,서울특별시 은평구은평터널로194,1층좌측호,1,56221,음식점업,커피전문점,,,56
201903087360,2397100156,구파발곱창1호집,3306,서울특별시 은평구진관2로15-8,웅신미켈란 109호,1,56113,음식점,한식,Y,Y,56
201903086422,2431800276,종로손만두찐빵,3380,서울특별시 은평구서오릉로14,1층,1,56194,음식점업,분식,,,56
201903086443,2501600998,빵드밀,3405,서울특별시 은평구진흥로1길28,1층 106호,1,56191,음식점업,제과점,,,56
201903085987,3031866172,청년다방,3306,서울특별시 은평구진관2로15-8,117호,1,56194,음식점,분식,,,56
201903087636,4227700196,즐겨찾기,3378,서울특별시 은평구진흥로12길6,1층,1,56113,음식점업,고기,,,56
201903087528,5323900185,행복반점,3328,서울특별시 은평구갈현로332,1층,1,56121,음식점업,중식,Y,Y,56
201903087756,5010493112,The 야곱 story,3485,서울특별시 은평구응암로11길9-1,1층 2호,1,56111,음식점업,한식,,,56
201903085974,5397700102,원조 불광동 가마솥 보신탕,3396,서울특별시 은평구통일로67길1,1층,1,56111,음식,한식,,,56
201903086365,5055800281,팔삼 닭발,3469,서울특별시 은평구응암로14길15,105호,1,56111,음식점업,한식업,,,56
201903087361,5823600495,소리카페,3306,서울특별시 은평구진관2로15-8,웅신미켈란 119호,1,56229,음식점,기타음식,,,56
201903086385,7382000461,둘렛길맛집,3360,서울특별시 은평구불광로18가길49,1층,1,56111,음식점업,한식,,,56
201903086344,6430100750,화통집,3332,서울특별시 은평구연서로27길19,1층,1,56111,음식점업,한식,Y,Y,56
201903087855,8511700750,명진양꼬치,3382,서울특별시 은평구녹번로72,1층,1,56121,음식점업,양꼬치,,,56
201903087691,8252300408,구구와 옛날통닭,3478,서울특별시 은평구응암로200,1층 102호,1,56111,"음식점업,부동산업","통닭,전대",,,56
201903086370,1695200313,피향정,3311,서울특별시 은평구통일로1010,"103호,104호",1,56111,음식점업,한식,,,56
202203083898,8561001959,제주냉삼,3485,서울특별시 은평구응암로9길5(응암동),1층,1,56111,음식점업,한식,,,56
201907266917,1170113682,선조네,3311,서울특별시 은평구진관2로12(진관동),"1층 101, 102호   메이플카운티 2차",1,56111,음식 도소매,한식,,,56
201903098022,2204100515,은평닭곰탕,3461,서울특별시 은평구은평로9길13(응암동),"1층 105호, 106호",1,56111,음식점업,한식,,,56
201903095185,4362900613,문테이블(MoonTable),3485,서울특별시 은평구응암로9길13,1층 101호,1,56213,음식점업,기타주점업,,,56
201903102505,1101870899,응암꼬꼬치킨호프,3484,서울특별시 은평구가좌로253,응암꼬꼬치킨호프,1,56111,음식,치킨,,,56
201903102422,8713300415,장원,3417,서울특별시 은평구역말로6길8-1,장원,1,56112,음식점업,중식,,,56
201903110140,5104100117,셀렉토커피,3457,"서울특별시 은평구응암로215(응암동,명남더블레스아파트2차)",1동 101호,1,56221,음식,커피전문점,,,56
201903110067,8065300082,여리네닭갈비,3358,서울특별시 은평구통일로68길12-19(불광동),1층,1,56111,음식점업,한식,,,56
201903087508,5864100486,온도차,3382,서울특별시 은평구녹번로74,1층,1,56221,음식점업,카페,,,56
201903115704,1102035027,이모네 밥상,3302,서울특별시 은평구진관3로70,823동상가 103호,1,56111,음식업점,한식,,,56
201903115831,2011751134,다담에뜰,3307,서울특별시 은평구북한산로271-3(진관동),1층,1,56111,음식및숙박업,한식점업,,,56
201903118770,2040124014,농가 왕갈비,3470,서울특별시 은평구가좌로194,1층,1,56111,음식,한식점업,,,56
